"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - MAGAZ LUIZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010
Investimentos,293.609,294.610,308.462,294.286,284.527,277.190,311.347,319.037,311.846,391.454,380.386,373.650,368.125,368.531,384.025,333.572,313.165,294.653,319.604,313.361,287.050,266.008,251.747,248.715,236.608,224.621,0,0,0,0,0,0,0,0,0
Imobilizado,2.746.029,2.671.445,754.253,663.328,608.125,565.661,569.027,560.445,557.362,557.974,560.067,558.986,562.404,569.582,578.571,567.682,563.886,561.461,566.193,549.651,534.741,530.784,540.444,527.893,510.821,575.514,575.185,552.026,529.157,513.743,489.938,406.579,372.570,359.863,358.841
Intangível,1.509.515,605.071,598.822,556.390,545.542,534.669,532.360,532.976,525.931,516.916,513.049,508.245,508.421,507.278,506.720,496.267,497.808,493.927,488.753,487.751,487.938,480.383,481.370,437.499,436.646,436.237,440.738,441.033,443.231,447.133,448.908,448.552,374.921,370.024,374.619
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,12.082.657,9.741.227,8.796.741,7.134.704,7.038.714,6.901.211,7.419.513,5.947.142,5.271.800,5.359.888,6.187.162,5.200.333,4.978.370,4.984.309,5.588.537,4.780.376,4.656.777,4.832.704,5.290.037,4.656.338,4.487.408,4.475.198,4.713.904,4.351.668,4.291.966,4.109.118,5.664.755,5.229.007,5.118.172,4.854.808,4.877.354,4.439.438,4.402.023,3.681.970,3.927.780
Passivo Circulante,4.972.630,4.558.556,5.388.598,3.704.064,3.724.398,3.611.899,4.136.036,3.427.343,3.083.456,2.913.062,3.672.426,2.940.403,2.714.178,2.473.915,2.874.782,1.983.106,1.887.315,2.046.111,2.831.448,2.254.948,2.024.950,2.471.844,2.527.591,2.237.153,2.171.470,1.910.428,3.607.014,3.213.056,3.071.646,2.891.721,3.167.135,2.718.267,2.742.880,2.535.240,2.685.908
Obrigações Sociais e Trabalhistas PC,302.256,269.952,258.983,268.737,208.591,188.820,236.584,231.503,191.542,188.144,188.390,186.085,144.480,141.664,153.903,151.911,145.754,161.245,167.423,172.965,153.241,155.419,166.585,146.727,126.691,115.821,139.537,139.985,128.313,112.561,121.596,133.092,113.891,96.372,116.525
Fornecedores PC,3.395.882,2.973.614,4.105.244,2.653.109,2.749.475,2.456.864,2.919.541,2.120.123,1.860.524,1.762.378,2.364.959,1.528.453,1.427.136,1.394.133,1.894.157,1.186.934,1.175.110,1.239.200,1.789.898,1.388.054,1.189.518,1.528.393,1.651.543,1.332.284,1.306.103,1.169.848,1.328.155,1.175.623,1.018.443,1.040.998,1.267.774,988.137,923.706,756.723,1.140.724
Obrigações Fiscais PC,174.177,203.258,140.979,84.918,110.387,91.732,84.451,66.054,46.440,36.551,40.132,32.896,28.464,29.505,30.605,25.260,31.024,21.976,44.595,35.977,46.454,27.271,41.664,18.876,28.488,20.406,80.174,34.489,31.696,34.128,49.324,36.197,32.494,26.171,39.438
Empréstimos e Financiamentos PC,43.258,128.911,130.743,252.410,254.504,381.416,434.294,720.466,718.650,688.280,838.016,980.867,902.261,713.615,568.350,446.602,370.813,392.509,591.443,447.664,422.422,520.563,425.227,555.542,534.795,404.340,317.198,222.983,225.902,122.375,129.671,140.795,332.705,350.117,108.758
Passivos com Partes Relacionadas PC,113.050,105.981,125.383,90.274,94.460,82.914,89.521,71.325,60.259,56.277,72.955,53.820,77.977,61.947,68.404,55.328,57.200,62.386,80.305,64.476,66.803,61.553,73.619,53.829,50.874,41.742,25.989,13.799,32.362,13.565,25.492,20.969,12.273,15.295,13.231
Dividendos e JCP a Pagar PC,0,166.446,182.000,0,0,114.273,64.273,0,0,12.335,12.335,0,0,0,0,0,0,16.301,18.319,0,0,16.219,16.219,0,0,0,0,0,0,1.662,1.662,0,0,0,0
Outros PC,944.007,710.394,445.266,354.616,306.981,295.880,307.372,217.872,206.041,169.097,155.639,158.282,133.860,133.051,159.363,117.071,107.414,152.494,139.465,145.812,146.512,162.426,152.734,129.895,124.519,158.271,1.715.961,1.626.177,1.634.930,1.566.432,1.571.616,1.399.077,1.327.811,1.290.562,1.267.232
Provisões PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,3.999.081,2.749.628,1.105.271,1.118.316,1.125.747,1.241.742,1.209.500,1.658.017,1.441.326,1.677.890,1.806.594,1.563.622,1.589.457,1.846.809,2.051.543,2.083.373,2.033.131,2.032.288,1.704.122,1.660.231,1.752.572,1.306.719,1.491.702,1.417.035,1.449.066,1.581.799,1.441.749,1.410.388,1.443.993,1.382.083,1.089.274,1.081.672,1.031.325,1.086.999,1.194.436
Empréstimos e Financiamentos PNC,1.120.409,321.605,325.224,325.406,327.383,437.359,437.204,886.451,662.996,889.890,1.010.760,773.336,794.433,1.050.494,1.254.960,1.564.598,1.484.814,1.486.498,1.120.184,1.076.868,1.154.031,708.721,895.053,829.107,860.423,1.016.201,918.766,892.566,901.005,863.233,581.664,617.149,516.179,595.388,666.115
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,1.623.207,1.669.014,1.712,1.712,1.876,1.923,1.925,2.749,2.749,2.471,2.553,2.323,2.323,2.261,2.261,2.300,2.541,2.486,2.381,2.003,1.773,1.742,1.543,359.266,361.374,369.364,323.781,25.486,29.481,30.668,323.441,287.177,313.274,296.143,332.555
Tributos Diferidos PNC,58.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.594,8.079,11.932,10.765,11.538,12.303,12.982,13.746
Adiantamento para Futuro Aumento Capital PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões PNC,812.984,380.893,387.355,351.729,347.230,343.412,301.534,289.901,286.585,286.454,284.126,268.729,263.387,254.661,243.412,229.936,252.799,243.890,265.691,254.948,262.168,254.969,245.882,228.662,227.269,196.234,199.202,185.460,185.749,188.089,173.404,165.808,189.569,182.486,182.020
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar PNC,384.343,378.116,390.980,439.469,449.258,459.048,468.837,478.916,488.996,499.075,509.155,519.234,529.314,539.393,550.910,286.539,292.977,299.414,315.866,326.412,334.600,341.287,349.224,0,0,0,0,300.282,319.679,288.161,0,0,0,0,0
Participação dos Acionistas Não Controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrimônio Líquido,3.110.946,2.433.043,2.302.872,2.312.324,2.188.569,2.047.570,2.073.977,861.782,747.018,768.936,708.142,696.308,674.735,663.585,662.212,713.897,736.331,754.305,754.467,741.159,709.886,696.635,694.611,697.480,671.430,616.891,615.992,605.563,602.533,581.004,620.945,639.499,627.818,59.731,47.436
Capital Social Realizado,1.719.886,1.719.886,1.719.886,1.719.886,1.719.886,1.719.886,1.719.886,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,606.505,43.000,43.000
Reservas de Capital,258.624,-29.299,-34.840,-20.423,-26.014,-26.459,23.139,14.394,-6.501,-8.583,-9.699,12.017,15.706,-755,4.993,4.482,7.109,-13.092,-10.092,-2.719,7.871,-33.072,-14.423,4.934,4.229,3.525,2.820,2.115,1.410,705,0,0,0,0,0
Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,612.495,612.495,612.495,201.800,201.800,201.800,328.293,20.471,20.471,110.134,110.134,35.904,35.904,52.342,52.342,117.947,117.947,159.316,159.316,49.079,49.079,104.173,104.173,6.586,6.586,6.586,6.586,13.331,13.331,14.440,14.440,4.436,4.436,4.436,4.436
Lucros/Prejuízos Acumulados,518.730,132.104,0,407.785,288.229,147.483,0,217.203,124.719,58.563,0,40.496,15.673,5.254,0,-13.211,5.889,2.852,0,89.251,47.168,20.535,0,80.832,55.456,802,0,-16.455,-18.803,-40.715,0,28.558,16.877,12.295,0
Ajustes de Avaliação Patrimonial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajustes Acumulados de Conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Resultados Abrangentes,1.211,-2.143,5.331,3.276,4.668,4.860,2.659,3.209,1.824,2.317,1.202,1.386,947,239,-1.628,-1.826,-1.119,-1.276,-1.262,-957,-737,-1.506,-1.644,-1.377,-1.346,-527,81,67,90,69,0,0,0,0,0
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
