"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - TIM PARTICIPAÇÕES S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Estoques ACLP,112.594,104.460,130.308,122.452,116.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,0,0,0,30.478,22.655,41.690,74.160,132.026,23.846,14.526,739.286,720.289,870.977,889.064,948.743,966.656,1.024.822,1.064.721,1.086.231,1.148.782,1.237.646,1.252.018,1.326.402,1.374.131,1.456.345,1.488.235,1.549.052,1.626.565,1.694.971,1.732.732,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,0,0,0,65.948,39.466,46.133,46.887,52.557,54.374,58.441,63.068,57.479,55.234,56.144,59.369,63.233,70.587,75.327,84.370,91.577,96.906,104.100,105.978,107.994,94.038,95.399,94.868,90.997,92.874,92.912,89.162,87.100,14.620,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,72.890,72.367,74.381,72.078,77.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,2.701.685,2.773.292,2.775.372,2.744.646,2.738.818,2.711.020,2.561.821,2.555.339,2.697.700,2.649.217,2.774.381,2.388.357,2.382.424,2.252.447,2.018.978,1.764.553,1.524.428,1.527.673,1.102.739,1.419.533,1.261.980,1.156.366,1.372.307,1.435.503,1.216.382,1.086.044,1.000.802,895.498,896.274,747.505,421.149,410.765,379.816,294.825,233.491,254.959,304.095
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,16.421.554,15.871.284,11.203.622,10.861.227,10.952.411,10.702.638,10.838.488,10.484.888,10.354.364,10.428.042,11.084.530,10.376.157,10.362.494,10.328.850,10.667.348,10.164.053,9.675.429,8.928.056,8.914.929,8.393.996,8.223.202,7.994.895,8.207.242,7.826.706,7.555.494,7.378.354,7.566.510,7.034.164,6.853.867,6.554.978,6.624.081,5.866.218,5.643.414,5.576.244,5.863.723,5.351.457,5.136.565,5.572.807,5.323.174,4.450.295,4.452.588,4.566.173
Intangível,10.118.024,10.405.366,10.682.004,10.704.808,10.736.698,10.956.688,11.312.527,10.993.503,11.026.868,11.045.871,10.632.575,10.537.354,10.298.501,10.156.031,9.959.193,9.797.354,9.782.053,9.461.774,9.322.634,6.418.922,6.394.344,6.521.993,6.436.181,6.440.800,6.236.009,5.964.949,5.989.189,5.779.579,5.846.192,5.724.938,5.774.276,4.442.999,4.469.817,4.434.020,4.535.848,4.637.740,4.356.039,4.912.201,4.494.342,4.366.112,4.494.753,4.611.658
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.954,0,110.979,120.492,130.004,139.517
Passivo Total,38.396.842,36.822.241,31.957.889,30.779.169,31.220.199,32.176.380,32.600.363,31.972.108,32.089.029,33.369.717,34.655.678,32.837.419,32.409.446,33.405.252,35.403.653,33.904.040,33.596.264,31.947.477,32.695.112,29.327.440,29.242.927,27.286.045,28.138.168,26.333.239,25.780.052,25.422.295,26.108.975,23.517.489,22.518.784,22.578.483,23.438.219,20.097.288,18.961.193,18.852.891,19.370.852,0,0,0,0,0,0,0
Passivo Circulante,5.653.873,6.515.581,7.075.379,5.722.579,6.263.134,7.182.522,7.224.437,5.826.408,5.897.642,6.524.047,7.281.555,6.248.952,5.903.855,7.157.203,8.658.406,7.239.288,7.304.588,7.543.827,9.123.256,7.108.018,7.369.120,6.895.158,8.048.103,6.329.636,6.207.053,6.130.486,7.375.222,6.131.057,5.272.745,5.535.244,6.795.630,5.143.912,4.476.262,5.048.115,5.691.089,4.002.764,4.752.642,4.867.930,5.736.889,4.253.949,3.822.239,3.774.434
Obrigações Sociais e Trabalhistas PC,236.032,245.272,211.685,237.579,245.413,312.160,262.450,283.460,219.604,246.060,212.279,242.329,210.299,219.979,199.373,275.990,233.938,248.733,208.629,261.460,201.322,202.645,170.556,212.131,171.614,162.704,133.283,173.517,158.264,163.860,145.803,159.639,134.696,142.213,125.292,0,0,0,0,0,0,0
Fornecedores PC,2.891.236,3.781.912,4.323.374,3.162.932,3.388.342,4.219.003,3.986.557,2.491.542,2.652.744,3.171.781,3.461.081,2.847.760,2.498.537,2.514.376,3.784.945,3.301.592,3.975.840,4.020.126,5.402.204,4.262.636,4.211.439,3.845.958,5.255.337,4.179.783,3.441.552,2.916.737,4.293.121,3.461.999,2.968.642,2.692.296,3.709.301,2.901.207,2.557.930,2.552.396,3.103.469,2.107.669,2.241.615,2.272.528,3.099.983,1.995.329,1.789.795,1.533.194
Obrigações Fiscais PC,735.065,667.486,783.502,539.379,501.310,563.128,566.052,561.738,499.912,596.194,816.856,724.526,751.569,563.812,715.648,593.976,813.262,670.121,808.207,650.678,723.397,796.589,695.728,684.138,706.258,966.417,839.978,792.449,675.229,895.166,1.159.793,870.635,810.727,661.499,809.703,673.495,601.989,714.301,724.105,546.743,579.988,561.484
Empréstimos e Financiamentos PC,568.315,650.480,698.728,859.352,1.194.132,1.183.513,1.351.860,1.561.236,1.562.607,1.388.175,1.145.225,964.313,893.533,1.677.099,2.326.186,1.873.274,1.254.951,1.252.763,1.281.554,1.248.490,1.136.282,1.104.618,966.658,682.710,978.757,906.469,951.013,1.243.591,1.062.237,1.073.451,1.090.174,871.722,669.630,996.400,957.549,926.216,1.596.944,1.369.945,1.417.363,1.434.510,1.103.743,1.242.698
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,55.064,55.091,370.105,246.322,239.248,143.579,143.591,60.277,61.639,206.085,206.112,57.474,64.517,524.749,524.779,60.576,60.597,420.945,421.002,53.776,470.969,396.838,396.879,42.401,409.091,373.205,373.241,35.908,35.996,326.311,326.348,0,0,0,0,15.159,23.711,224.601,224.652,20.566,25.438,193.294
Outros PC,1.168.161,1.115.340,687.985,677.015,694.689,761.139,913.927,868.155,901.136,915.752,1.440.002,1.412.550,1.485.400,1.657.188,1.107.475,1.133.880,966.000,931.139,1.001.660,630.978,625.711,548.510,562.945,528.473,499.781,804.954,784.586,423.593,372.377,384.160,364.211,340.709,303.279,695.607,695.076,280.225,288.383,286.555,270.786,256.801,323.275,243.764
Provisões PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,10.803.058,10.387.547,5.087.673,5.511.590,6.511.512,6.655.753,7.224.744,8.319.679,8.646.456,9.522.103,10.186.612,9.620.689,9.731.100,9.557.441,9.812.202,9.736.470,9.728.443,8.767.359,8.249.821,6.999.562,7.023.966,5.422.565,5.495.424,5.559.262,5.444.743,5.150.569,4.900.885,3.716.410,3.892.297,3.808.594,3.685.854,3.775.868,3.620.683,3.290.510,3.378.954,3.447.528,3.382.856,3.503.115,3.390.130,2.559.944,3.064.884,2.839.837
Empréstimos e Financiamentos PNC,1.799.806,1.911.949,964.289,1.469.611,2.490.294,2.732.896,3.339.084,4.297.911,4.613.879,5.402.354,5.574.557,5.155.735,5.332.692,5.363.565,5.600.250,5.015.961,5.539.029,5.799.412,5.472.865,5.136.548,5.214.937,3.678.695,3.779.998,3.981.880,3.793.379,3.498.150,3.439.082,2.337.309,2.559.315,2.536.533,2.570.409,2.657.992,2.430.145,2.121.239,2.277.121,2.414.644,2.556.475,2.648.527,2.742.595,2.020.745,2.471.151,2.306.232
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,7.831.286,7.646.737,3.271.126,3.251.600,3.232.400,3.225.650,3.232.983,3.351.084,3.345.254,3.463.572,4.001.903,3.914.923,3.855.918,3.640.456,3.642.727,3.470.025,3.110.475,1.701.916,1.602.354,726.401,755.574,705.528,704.684,625.790,735.145,758.812,650.416,650.118,695.073,652.077,546.633,547.134,616.236,568.150,504.165,740.181,609.284,523.407,431.841,345.604,331.144,272.692
Tributos Diferidos PNC,66.013,0,0,172.195,96.193,73.008,98.919,112.410,127.184,104.975,108.358,111.882,115.417,118.297,120.730,773.705,567.860,563.486,481.173,418.056,339.587,345.054,337.770,251.327,233.609,215.870,196.806,123.728,118.937,110.535,77.055,78.277,80.154,81.799,83.708,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões PNC,1.105.953,828.861,852.258,618.184,692.625,624.199,553.758,558.274,560.139,551.202,501.794,438.149,427.073,435.122,448.495,476.778,511.079,702.545,693.429,718.557,713.868,693.288,672.972,700.265,682.610,677.737,614.581,605.255,518.972,509.449,491.757,492.465,494.148,519.322,513.960,292.703,217.097,331.181,215.694,193.595,262.589,260.913
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participação dos Acionistas Não Controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrimônio Líquido,21.939.913,19.919.114,19.794.835,19.545.000,18.445.554,18.338.103,18.151.184,17.826.019,17.544.927,17.323.565,17.187.512,16.967.778,16.774.491,16.690.609,16.933.044,16.928.284,16.563.231,15.636.291,15.322.034,15.219.862,14.849.842,14.968.322,14.594.640,14.444.342,14.128.256,14.141.241,13.832.870,13.670.023,13.353.743,13.234.646,12.956.737,11.177.509,10.864.246,10.514.265,10.300.809,8.912.773,8.454.060,8.631.941,8.322.715,7.696.795,7.631.195,7.646.442
Capital Social Realizado,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.866.298,9.859.071,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,9.839.770,8.164.665,8.164.665,8.149.096,8.149.096,8.149.096,8.149.096,8.149.096,8.149.096,7.632.371,7.632.371,7.613.610
Reservas de Capital,406.508,407.811,403.568,406.367,1.678.481,1.675.575,1.671.078,1.566.989,1.564.990,1.562.552,1.560.780,1.440.889,1.439.783,1.440.412,1.438.728,1.344.161,1.343.203,1.342.657,1.341.101,1.219.250,1.218.330,1.215.821,1.214.271,837.420,836.349,384.602,383.631,383.785,384.059,382.590,381.120,380.560,380.560,396.129,396.129,396.129,15.569,396.129,15.569,15.569,15.569,34.330
Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,9.524.124,9.524.124,9.524.124,7.829.017,6.550.700,6.550.700,6.612.819,5.760.942,5.760.942,5.760.942,5.760.942,5.277.429,5.270.409,5.270.409,5.626.131,4.112.332,4.112.332,4.112.332,4.112.332,3.053.451,3.051.983,3.538.586,3.538.586,2.760.512,2.760.512,3.611.034,3.609.701,2.505.211,2.506.688,2.735.847,2.735.847,1.752.215,1.755.584,1.755.584,1.755.584,166.394,158.050,158.049,158.050,147.305,142.516,142.516
Lucros/Prejuízos Acumulados,2.142.134,120.034,0,1.442.917,349.674,245.130,0,630.109,351.016,132.091,0,386.433,202.357,127.908,0,1.595.562,1.239.095,312.701,0,1.086.076,737.746,372.132,0,1.006.640,691.625,306.067,0,941.257,623.226,276.439,0,880.069,563.437,213.456,0,201.154,131.345,-71.333,0,-98.450,-159.261,-144.014
Ajustes de Avaliação Patrimonial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajustes Acumulados de Conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Resultados Abrangentes,847,847,847,401,401,401,989,1.683,1.683,1.683,-507,-3.271,-4.356,-14.418,1.887,9.930,2.303,2.303,2.303,2.013,2.013,2.013,2.013,0,0,-232,-232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
